,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', '0', 'COM PRES'})",0.009394313967861558,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', '0'})",frozenset({'COM PRES'}),0.21348314606741575,14.15638239086388
1,"frozenset({'BIOL', 'HSC S129', 'Lab for Diversity of Life'})",0.005438813349814586,"frozenset({'BIOL', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
2,"frozenset({'HSC S3B', '14', '0', 'PSYC'})",0.008384710234278668,"frozenset({'14', '0', 'PSYC'})",frozenset({'HSC S3B'}),0.7391304347826085,59.943478260869554
3,"frozenset({'14', 'PHYS', '0', 'HSC S208'})",0.008144126357354392,"frozenset({'14', 'PHYS', '0'})",frozenset({'HSC S208'}),0.7857142857142857,86.04633204633205
4,"frozenset({'HSC S229', 'CHEM', '12', '0'})",0.007142857142857143,"frozenset({'CHEM', '12', '0'})",frozenset({'HSC S229'}),0.5576923076923077,64.6923076923077
5,"frozenset({'BC 18', '12', 'WRTG', '0'})",0.008349705304518664,"frozenset({'12', 'WRTG', '0'})",frozenset({'BC 18'}),0.4473684210526316,22.771052631578947
6,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
7,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",0.007403751233958539,"frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",frozenset({'HSC S3A'}),0.8333333333333334,37.51851851851852
8,"frozenset({'HSC S129', 'Paris Scarano', 'Lab for Diversity of Life'})",0.005438813349814586,"frozenset({'Paris Scarano', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
9,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
10,"frozenset({'Jennifer Ostrega', 'EAP', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', 'EAP'})",frozenset({'COM PRES'}),0.6000000000000001,39.786885245901644
11,"frozenset({'Principles of Chemistry I Lab', 'CHEM', 'HSC S211'})",0.007897334649555774,"frozenset({'Principles of Chemistry I Lab', 'CHEM'})",frozenset({'HSC S211'}),0.8888888888888888,67.958071278826
12,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211'})",0.007650542941757157,"frozenset({'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
13,"frozenset({'BIOL', 'HSC S133', 'Joanna Miller'})",0.007612966601178782,"frozenset({'BIOL', 'Joanna Miller'})",frozenset({'HSC S133'}),0.9117647058823529,119.76470588235294
14,"frozenset({'BIOL', 'Paris Scarano', 'HSC S129'})",0.0103831891223733,"frozenset({'BIOL', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,96.30952380952381
15,"frozenset({'BC 18', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'WRTG'})",0.009332023575638507,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'WRTG'})",frozenset({'BC 18'}),0.34545454545454546,17.583636363636366
16,"frozenset({'Jennifer Ostrega', '18', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
17,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTS 138', 'THEA'})",0.00712180746561886,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'THEA'})",frozenset({'ARTS 138'}),0.42028985507246375,31.69296833064949
18,"frozenset({'THEA', 'ARTS 137', 'James Bazewicz'})",0.0069221260815822,"frozenset({'THEA', 'James Bazewicz'})",frozenset({'ARTS 137'}),0.7777777777777778,39.824191279887486
19,"frozenset({'THEA', 'Andrew Elliott', 'ARTS 117'})",0.0069221260815822,"frozenset({'Andrew Elliott', 'THEA'})",frozenset({'ARTS 117'}),0.6363636363636364,48.56775300171526
20,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH', 'ARTS 106'})",0.008899876390605686,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH'})",frozenset({'ARTS 106'}),0.8571428571428572,45.620300751879704
21,"frozenset({'William Mutter', 'ART', 'ARTS 7'})",0.007151664611590629,"frozenset({'William Mutter', 'ART'})",frozenset({'ARTS 7'}),0.9062500000000001,126.71875000000001
22,"frozenset({'Ahni Kruger', 'ART', 'ARTS 3'})",0.005425400739827373,"frozenset({'ART', 'Ahni Kruger'})",frozenset({'ARTS 3'}),0.9565217391304347,133.74812593703146
23,"frozenset({'Drawing I', 'ARTS 206', 'ART'})",0.005686032138442522,"frozenset({'Drawing I', 'ART'})",frozenset({'ARTS 206'}),1.0,112.36111111111111
24,"frozenset({'ARTS 102', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007895386133728102,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ART'})",frozenset({'ARTS 102'}),0.3368421052631579,35.92686980609418
25,"frozenset({'MUS', 'MUS 101', '40'})",0.0064039408866995075,"frozenset({'MUS', '40'})",frozenset({'MUS 101'}),0.962962962962963,102.8849902534113
26,"frozenset({'ECON', 'BC 117', '25'})",0.006165228113440197,"frozenset({'ECON', '25'})",frozenset({'BC 117'}),0.43859649122807015,14.342812676853423
27,"frozenset({'HSC S3A', '24', 'PSYC'})",0.011576354679802956,"frozenset({'24', 'PSYC'})",frozenset({'HSC S3A'}),0.8245614035087719,36.78812415654521
28,"frozenset({'HSC S129', '20', 'Paris Scarano'})",0.00935960591133005,"frozenset({'20', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
29,"frozenset({'BIOL', '20', 'HSC S129'})",0.00935960591133005,"frozenset({'BIOL', '20'})",frozenset({'HSC S129'}),0.5507246376811594,54.53517143867091
30,"frozenset({'ARTS 206', 'ART', '16', '0'})",0.006896551724137931,"frozenset({'ART', '16', '0'})",frozenset({'ARTS 206'}),0.47457627118644063,52.07512597343106
