,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'HSC S133', '16', 'Joanna Miller', 'BIOL', '0'})",0.006415001233654083,"frozenset({'BIOL', '16', '0', 'Joanna Miller'})",frozenset({'HSC S133'}),1.0,144.75
1,"frozenset({'HSC S211', '16', 'Principles of Chemistry I Lab'})",0.007856616744414437,"frozenset({'Principles of Chemistry I Lab', '16'})",frozenset({'HSC S211'}),1.0,74.05454545454546
2,"frozenset({'HSC S129', '20', 'Paris Scarano'})",0.00935960591133005,"frozenset({'20', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
3,"frozenset({'BIOL', '20', 'HSC S129'})",0.00935960591133005,"frozenset({'BIOL', '20'})",frozenset({'HSC S129'}),0.5507246376811594,54.53517143867091
4,"frozenset({'2', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'2', 'EAP'})",frozenset({'COM PRES'}),0.6666666666666666,44.20765027322404
5,"frozenset({'Jennifer Ostrega', '18', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
6,"frozenset({'18', 'EAP', 'COM PRES'})",0.014833127317676144,"frozenset({'18', 'EAP'})",frozenset({'COM PRES'}),0.7692307692307692,51.00882723833543
7,"frozenset({'BC 103', 'SPAN', '18'})",0.007891491985203452,"frozenset({'SPAN', '18'})",frozenset({'BC 103'}),0.2162162162162162,8.118118118118117
8,"frozenset({'2', '18', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '18'})",frozenset({'COM PRES'}),0.22666666666666666,15.030601092896173
9,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",0.007611097471151486,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",frozenset({'HSC S211'}),1.0,74.05454545454546
10,"frozenset({'ARTS 102', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007895386133728102,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ART'})",frozenset({'ARTS 102'}),0.3368421052631579,35.92686980609418
11,"frozenset({'16', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'16', 'EAP'})",frozenset({'COM PRES'}),0.23943661971830982,15.87739552066497
12,"frozenset({'HSC S211', 'CHEM', '16'})",0.013503560029462312,"frozenset({'CHEM', '16'})",frozenset({'HSC S211'}),0.5555555555555555,41.14141414141414
13,"frozenset({'ARTS 206', 'ART', '16'})",0.007856616744414437,"frozenset({'ART', '16'})",frozenset({'ARTS 206'}),0.4155844155844156,45.747981747981754
14,"frozenset({'2', '16', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '16'})",frozenset({'COM PRES'}),0.2085889570552147,13.83184149653022
15,"frozenset({'16', '18', 'COM PRES'})",0.008405438813349814,"frozenset({'16', '18'})",frozenset({'COM PRES'}),0.2905982905982906,19.270001401148942
16,"frozenset({'14', 'PHYS', 'HSC S208'})",0.007398273736128237,"frozenset({'14', 'PHYS'})",frozenset({'HSC S208'}),0.7692307692307692,86.64529914529913
17,"frozenset({'HSC S229', 'CHEM', '12'})",0.007389162561576354,"frozenset({'CHEM', '12'})",frozenset({'HSC S229'}),0.5660377358490566,65.66037735849056
18,"frozenset({'HSC S3A', '24', 'PSYC'})",0.011576354679802956,"frozenset({'24', 'PSYC'})",frozenset({'HSC S3A'}),0.8245614035087719,36.78812415654521
19,"frozenset({'William Mutter', 'ART', 'ARTS 7'})",0.007151664611590629,"frozenset({'William Mutter', 'ART'})",frozenset({'ARTS 7'}),0.9062500000000001,126.71875000000001
20,"frozenset({'MUS', 'MUS 111', '0'})",0.015782983970406905,"frozenset({'MUS', '0'})",frozenset({'MUS 111'}),0.4129032258064516,23.582008178100864
21,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
22,"frozenset({'14', 'PHYS', '0', 'HSC S208'})",0.007398273736128237,"frozenset({'14', 'PHYS', '0'})",frozenset({'HSC S208'}),0.7692307692307692,86.64529914529913
23,"frozenset({'HSC S229', 'CHEM', '12', '0'})",0.007142857142857143,"frozenset({'CHEM', '12', '0'})",frozenset({'HSC S229'}),0.5576923076923077,64.6923076923077
24,"frozenset({'BC 18', '12', 'WRTG', '0'})",0.008102136017677388,"frozenset({'12', 'WRTG', '0'})",frozenset({'BC 18'}),0.44000000000000006,24.89055555555556
25,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
26,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",0.007398273736128237,"frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",frozenset({'HSC S3A'}),0.8571428571428572,38.19466248037677
