,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'HSC S229', 'CHEM', '1', '0'})",0.00441934691873312,"frozenset({'CHEM', '1', '0'})",frozenset({'HSC S229'}),0.33962264150943394,38.424528301886795
1,"frozenset({'CHEM', 'HSC S226', 'Pre-reqs: \nCo-Reqs: CHEM 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.00541871921182266,"frozenset({'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S226'}),1.0,112.77777777777777
2,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
3,"frozenset({'Jennifer Ostrega', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'COM PRES'})",0.007169344870210136,"frozenset({'Jennifer Ostrega', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'COM PRES'}),0.763157894736842,50.60612597066436
4,"frozenset({'HSC S129', '0', 'Lab for Diversity of Life', 'BIOL', 'Paris Scarano'})",0.004697156983930779,"frozenset({'BIOL', 'Paris Scarano', '0', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
5,"frozenset({'Daniel Bishop', 'MUS', 'MUS 101'})",0.0049261083743842365,"frozenset({'Daniel Bishop', 'MUS'})",frozenset({'MUS 101'}),0.7142857142857143,76.3157894736842
6,"frozenset({'PHYS', 'General Physics Laboratory I', 'HSC S208'})",0.005911330049261084,"frozenset({'PHYS', 'General Physics Laboratory I'})",frozenset({'HSC S208'}),1.0,109.72972972972974
7,"frozenset({'Pre-reqs: PHYS 150 (MAY BE TAKEN CONCURRENTLY) OR PHYS 111 (MAY BE TAKEN CONCURRENTLY) \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'General Physics Laboratory I', 'HSC S208'})",0.005911330049261084,"frozenset({'General Physics Laboratory I', 'Pre-reqs: PHYS 150 (MAY BE TAKEN CONCURRENTLY) OR PHYS 111 (MAY BE TAKEN CONCURRENTLY) \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S208'}),1.0,109.72972972972974
8,"frozenset({'HSC S129', 'Pre-reqs: \nCo-Reqs: BIOL 160 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'Lab for Diversity of Life'})",0.004449938195302843,"frozenset({'Pre-reqs: \nCo-Reqs: BIOL 160 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
9,"frozenset({'HSC S129', 'Lab for Ecology and Evolution', 'Paris Scarano'})",0.005911330049261084,"frozenset({'Lab for Ecology and Evolution', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
