,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'HSC S208', '14', '0', 'PHYS'})",0.008144126357354392,"frozenset({'PHYS', '14', '0'})",frozenset({'HSC S208'}),0.7857142857142857,86.04633204633205
1,"frozenset({'HSC S211', '16', 'CHEM'})",0.013300492610837438,"frozenset({'16', 'CHEM'})",frozenset({'HSC S211'}),0.5625,42.291666666666664
2,"frozenset({'SIMN DNCE', '0', 'DANC'})",0.009622501850481125,"frozenset({'0', 'DANC'})",frozenset({'SIMN DNCE'}),0.8297872340425532,76.43471953578337
3,"frozenset({'Paris Scarano', 'HSC S129', '0'})",0.009823182711198428,"frozenset({'Paris Scarano', '0'})",frozenset({'HSC S129'}),1.0,99.3170731707317
4,"frozenset({'COM PRES', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0', 'EAP'})",0.009131293188548864,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0', 'EAP'})",frozenset({'COM PRES'}),0.3978494623655914,26.427639696809447
5,"frozenset({'HSC S208', 'PHYS', '0'})",0.009131293188548864,"frozenset({'PHYS', '0'})",frozenset({'HSC S208'}),0.38541666666666663,42.20833333333333
6,"frozenset({'HSC S211', '0', 'Principles of Chemistry I Lab'})",0.007897334649555774,"frozenset({'0', 'Principles of Chemistry I Lab'})",frozenset({'HSC S211'}),0.8888888888888888,67.958071278826
7,"frozenset({'PSYC', 'HSC S3A', '0'})",0.017517887984209227,"frozenset({'PSYC', '0'})",frozenset({'HSC S3A'}),0.41764705882352937,18.399168797953962
8,"frozenset({'MUS', 'MUS 111', '0'})",0.015782983970406905,"frozenset({'MUS', '0'})",frozenset({'MUS 111'}),0.4129032258064516,23.582008178100864
9,"frozenset({'12', 'WRTG', 'BC 18'})",0.008349705304518664,"frozenset({'12', 'WRTG'})",frozenset({'BC 18'}),0.44155844155844154,22.475324675324675
10,"frozenset({'18', '16', 'COM PRES'})",0.00839091806515301,"frozenset({'18', '16'})",frozenset({'COM PRES'}),0.2833333333333333,18.820765027322402
11,"frozenset({'16', '2', 'COM PRES'})",0.00839091806515301,"frozenset({'16', '2'})",frozenset({'COM PRES'}),0.21794871794871795,14.477511559478772
12,"frozenset({'16', 'COM PRES', 'EAP'})",0.00839091806515301,"frozenset({'16', 'EAP'})",frozenset({'COM PRES'}),0.2786885245901639,18.51222789572695
13,"frozenset({'COM PRES', '0', 'EAP'})",0.014807502467917079,"frozenset({'0', 'EAP'})",frozenset({'COM PRES'}),0.28037383177570097,18.62417649762525
14,"frozenset({'HSC S211', '16', 'Principles of Chemistry I Lab'})",0.007897334649555774,"frozenset({'16', 'Principles of Chemistry I Lab'})",frozenset({'HSC S211'}),0.9411764705882353,71.95560488346281
15,"frozenset({'18', '2', 'COM PRES'})",0.00839091806515301,"frozenset({'18', '2'})",frozenset({'COM PRES'}),0.22972972972972971,15.26007975188303
16,"frozenset({'18', 'COM PRES', 'EAP'})",0.014807502467917079,"frozenset({'18', 'EAP'})",frozenset({'COM PRES'}),0.7692307692307693,51.097099621689786
17,"frozenset({'18', 'COM PRES', 'Jennifer Ostrega'})",0.0096248766041461,"frozenset({'18', 'Jennifer Ostrega'})",frozenset({'COM PRES'}),0.8666666666666667,57.569398907103825
18,"frozenset({'2', 'COM PRES', 'EAP'})",0.00839091806515301,"frozenset({'2', 'EAP'})",frozenset({'COM PRES'}),0.7555555555555555,50.18870673952641
19,"frozenset({'BIOL', 'HSC S129', '20'})",0.00935960591133005,"frozenset({'BIOL', '20'})",frozenset({'HSC S129'}),0.5507246376811594,54.53517143867091
