INIT_MIN_SUPP	0.013356689292752353
SUCCESS	0.013356689292752353	47.25671195983887
SUCCESS	0.012856689292752353	58.020408153533936
SUCCESS	0.012356689292752352	68.99140882492065
SUCCESS	0.011856689292752352	85.7415919303894
SUCCESS	0.011356689292752352	96.26899933815002
SUCCESS	0.010856689292752351	94.54194688796997
SUCCESS	0.01035668929275235	122.01420783996582
SUCCESS	0.00985668929275235	141.6443910598755
SUCCESS	0.00935668929275235	254.61361980438232
SUCCESS	0.00885668929275235	381.270122051239
SUCCESS	0.008356689292752349	530.4597868919373
INCOMPLETE	0.007856689292752348	2.1273231506347656
SUCCESS	0.007856689292752348	678.7157890796661
INCOMPLETE	0.007356689292752348	136.5979928970337
SUCCESS	0.007356689292752348	801.3117949962616
SUCCESS	0.0068566892927523476	1555.2271978855133
SUCCESS	0.006356689292752347	2684.3985736370087
SUCCESS	0.005856689292752347	4544.215790987015
SUCCESS	0.005356689292752346	6694.935268878937
SUCCESS	0.004856689292752346	15499.855564832687
SUCCESS	0.004356689292752345	39581.99979186058
