,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'HSC S3A', '1', 'PSYC'})",0.0049261083743842365,"frozenset({'1', 'PSYC'})",frozenset({'HSC S3A'}),0.5263157894736842,23.481781376518217
1,"frozenset({'Pre-reqs: \nCo-Reqs: BIOL 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S133', 'Joanna Miller'})",0.0058953574060427415,"frozenset({'Pre-reqs: \nCo-Reqs: BIOL 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'Joanna Miller'})",frozenset({'HSC S133'}),1.0,131.32258064516128
2,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",0.007403751233958539,"frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",frozenset({'HSC S3A'}),0.8333333333333334,37.51851851851852
3,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
4,"frozenset({'Trevor Weston', 'MUS', 'MUS 111'})",0.00541871921182266,"frozenset({'Trevor Weston', 'MUS'})",frozenset({'MUS 111'}),0.6285714285714286,35.943661971830984
5,"frozenset({'BC 18', '12', 'WRTG', '0'})",0.008349705304518664,"frozenset({'12', 'WRTG', '0'})",frozenset({'BC 18'}),0.4473684210526316,22.771052631578947
6,"frozenset({'HSC S229', 'CHEM', '12', '0'})",0.007142857142857143,"frozenset({'CHEM', '12', '0'})",frozenset({'HSC S229'}),0.5576923076923077,64.6923076923077
7,"frozenset({'ARTS 137', '14', '0', 'THEA'})",0.00519159456118665,"frozenset({'14', '0', 'THEA'})",frozenset({'ARTS 137'}),0.3088235294117647,15.812546537602383
8,"frozenset({'14', 'PHYS', '0', 'HSC S208'})",0.008144126357354392,"frozenset({'14', 'PHYS', '0'})",frozenset({'HSC S208'}),0.7857142857142857,86.04633204633205
9,"frozenset({'HSC S3B', '14', '0', 'PSYC'})",0.008384710234278668,"frozenset({'14', '0', 'PSYC'})",frozenset({'HSC S3B'}),0.7391304347826085,59.943478260869554
10,"frozenset({'ARTS 206', 'ART', '16', '0'})",0.007365578197888534,"frozenset({'ART', '16', '0'})",frozenset({'ARTS 206'}),0.4166666666666667,45.86711711711712
11,"frozenset({'BIOL', '16', 'HSC S133', '0'})",0.0058953574060427415,"frozenset({'BIOL', '16', '0'})",frozenset({'HSC S133'}),0.3287671232876712,43.174547061422885
12,"frozenset({'HSC S211', 'CHEM', '16', '0'})",0.013503560029462312,"frozenset({'CHEM', '16', '0'})",frozenset({'HSC S211'}),0.5612244897959183,41.56122448979592
13,"frozenset({'16', 'EAP', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'16', 'EAP', '0'})",frozenset({'COM PRES'}),0.24113475177304966,15.990001162655506
14,"frozenset({'HSC S133', '16', '0', 'Joanna Miller'})",0.0058953574060427415,"frozenset({'16', '0', 'Joanna Miller'})",frozenset({'HSC S133'}),1.0,131.32258064516128
15,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', '0'})",0.007650542941757157,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
16,"frozenset({'HSC S211', '16', 'Principles of Chemistry I Lab', '0'})",0.007897334649555774,"frozenset({'Principles of Chemistry I Lab', '16', '0'})",frozenset({'HSC S211'}),0.9411764705882353,71.95560488346281
17,"frozenset({'HSC S211', 'Principles of Chemistry II Lab', '16', '0'})",0.00519159456118665,"frozenset({'Principles of Chemistry II Lab', '16', '0'})",frozenset({'HSC S211'}),1.0,76.32075471698113
18,"frozenset({'BC 103', 'SPAN', '18', '0'})",0.0076448828606658446,"frozenset({'SPAN', '18', '0'})",frozenset({'BC 103'}),0.21527777777777776,8.082883230452675
19,"frozenset({'18', 'EAP', '0', 'COM PRES'})",0.014833127317676144,"frozenset({'18', 'EAP', '0'})",frozenset({'COM PRES'}),0.7692307692307692,51.00882723833543
20,"frozenset({'Jennifer Ostrega', '18', '0', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18', '0'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
21,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S211'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
22,"frozenset({'HSC S129', 'Lab for Ecology and Evolution', 'Paris Scarano'})",0.005911330049261084,"frozenset({'Lab for Ecology and Evolution', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
23,"frozenset({'2', 'EAP', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'2', 'EAP', '0'})",frozenset({'COM PRES'}),0.6666666666666666,44.20765027322404
24,"frozenset({'HSC S129', 'Paris Scarano', 'Lab for Diversity of Life'})",0.005438813349814586,"frozenset({'Paris Scarano', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
25,"frozenset({'William Mutter', 'ART', 'ARTS 7'})",0.007151664611590629,"frozenset({'William Mutter', 'ART'})",frozenset({'ARTS 7'}),0.9062500000000001,126.71875000000001
26,"frozenset({'16', '18', '2', 'COM PRES', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",0.004944375772558714,"frozenset({'16', '18', '2', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",frozenset({'COM PRES'}),0.5128205128205128,34.005884825556954
27,"frozenset({'16', '18', '2', 'Jennifer Ostrega', 'COM PRES', '0'})",0.005438813349814586,"frozenset({'16', '18', '2', 'Jennifer Ostrega', '0'})",frozenset({'COM PRES'}),0.8461538461538461,56.10970996216898
28,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH', 'ARTS 106'})",0.009825595676737903,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH'})",frozenset({'ARTS 106'}),0.851063829787234,42.77383766745469
29,"frozenset({'THEA', 'Andrew Elliott', 'ARTS 117'})",0.0069221260815822,"frozenset({'Andrew Elliott', 'THEA'})",frozenset({'ARTS 117'}),0.6363636363636364,48.56775300171526
30,"frozenset({'THEA', 'ARTS 137', 'James Bazewicz'})",0.007120058924625583,"frozenset({'THEA', 'James Bazewicz'})",frozenset({'ARTS 137'}),0.7073170731707317,41.75220926122305
31,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTS 138', 'THEA'})",0.00712180746561886,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'THEA'})",frozenset({'ARTS 138'}),0.42028985507246375,31.69296833064949
32,"frozenset({'Drawing I', 'ARTS 206', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.005438813349814586,"frozenset({'Drawing I', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'ARTS 206'}),1.0,112.36111111111111
33,"frozenset({'BC 18', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'WRTG'})",0.009334315892901008,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'WRTG'})",frozenset({'BC 18'}),0.33333333333333337,19.11267605633803
34,"frozenset({'BIOL', 'HSC S129', 'Lab for Diversity of Life'})",0.005438813349814586,"frozenset({'BIOL', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
35,"frozenset({'BIOL', 'Lab for Ecology and Evolution', 'HSC S129'})",0.005911330049261084,"frozenset({'BIOL', 'Lab for Ecology and Evolution'})",frozenset({'HSC S129'}),1.0,99.02439024390243
36,"frozenset({'BIOL', 'Paris Scarano', 'HSC S129'})",0.0103831891223733,"frozenset({'BIOL', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,96.30952380952381
37,"frozenset({'BIOL', 'HSC S133', 'Joanna Miller'})",0.0076148366494718745,"frozenset({'BIOL', 'Joanna Miller'})",frozenset({'HSC S133'}),0.911764705882353,119.73529411764707
38,"frozenset({'BIOL', 'HSC S133', 'Pre-reqs: \nCo-Reqs: BIOL 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.0058953574060427415,"frozenset({'BIOL', 'Pre-reqs: \nCo-Reqs: BIOL 250 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S133'}),1.0,131.32258064516128
39,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211'})",0.007650542941757157,"frozenset({'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
40,"frozenset({'Principles of Chemistry I Lab', 'CHEM', 'HSC S211'})",0.007897334649555774,"frozenset({'Principles of Chemistry I Lab', 'CHEM'})",frozenset({'HSC S211'}),0.8888888888888888,67.958071278826
41,"frozenset({'Principles of Chemistry II Lab', 'CHEM', 'HSC S211'})",0.00519159456118665,"frozenset({'Principles of Chemistry II Lab', 'CHEM'})",frozenset({'HSC S211'}),1.0,76.32075471698113
42,"frozenset({'Jennifer Ostrega', 'EAP', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', 'EAP'})",frozenset({'COM PRES'}),0.6000000000000001,39.786885245901644
43,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
44,"frozenset({'MUS 111', 'MUS', '18', '0'})",0.005672009864364982,"frozenset({'MUS', '18', '0'})",frozenset({'MUS 111'}),0.7419354838709677,42.37392094502499
45,"frozenset({'BIOL', '20', '0', 'HSC S129'})",0.008620689655172414,"frozenset({'BIOL', '20', '0'})",frozenset({'HSC S129'}),0.5555555555555556,55.013550135501355
46,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211', 'Principles of Chemistry I Lab'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
47,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
48,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101', '0'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', '0'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
49,"frozenset({'Trevor Weston', 'MUS', 'MUS 111', '0'})",0.00541871921182266,"frozenset({'Trevor Weston', 'MUS', '0'})",frozenset({'MUS 111'}),0.6285714285714286,35.943661971830984
50,"frozenset({'16', '18', '2', 'EAP', 'COM PRES', '0'})",0.008405438813349814,"frozenset({'16', '18', '2', 'EAP', '0'})",frozenset({'COM PRES'}),0.85,56.36475409836065
51,"frozenset({'BC 18', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '12', 'WRTG'})",0.007860476541390321,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '12', 'WRTG'})",frozenset({'BC 18'}),0.42666666666666664,24.464225352112674
52,"frozenset({'16', '18', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'16', '18', 'EAP'})",frozenset({'COM PRES'}),0.85,56.36475409836065
53,"frozenset({'2', '16', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '16', 'EAP'})",frozenset({'COM PRES'}),0.7083333333333334,46.970628415300546
54,"frozenset({'ART', '16', 'ARTS 7', 'William Mutter'})",0.006139489194499017,"frozenset({'ART', '16', 'William Mutter'})",frozenset({'ARTS 7'}),0.8333333333333333,125.67901234567901
55,"frozenset({'BIOL', '16', 'HSC S133', 'Joanna Miller'})",0.0058953574060427415,"frozenset({'BIOL', '16', 'Joanna Miller'})",frozenset({'HSC S133'}),1.0,131.32258064516128
56,"frozenset({'HSC S211', 'CHEM', '16', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007650542941757157,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', '16'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
57,"frozenset({'HSC S211', 'CHEM', '16', 'Principles of Chemistry I Lab'})",0.007897334649555774,"frozenset({'Principles of Chemistry I Lab', 'CHEM', '16'})",frozenset({'HSC S211'}),0.9411764705882353,71.95560488346281
58,"frozenset({'HSC S211', 'Principles of Chemistry II Lab', 'CHEM', '16'})",0.00519159456118665,"frozenset({'Principles of Chemistry II Lab', 'CHEM', '16'})",frozenset({'HSC S211'}),1.0,76.32075471698113
59,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', 'Principles of Chemistry I Lab'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
60,"frozenset({'2', '18', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '18', 'EAP'})",frozenset({'COM PRES'}),0.85,56.36475409836065
61,"frozenset({'Jennifer Ostrega', '18', 'EAP', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18', 'EAP'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
62,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', 'EAP'})",frozenset({'COM PRES'}),0.7872340425531914,52.20265085455179
63,"frozenset({'BIOL', 'Paris Scarano', '20', 'HSC S129'})",0.00935960591133005,"frozenset({'BIOL', '20', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
64,"frozenset({'Drawing I', 'ARTS 206', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.005438813349814586,"frozenset({'Drawing I', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'ARTS 206'}),1.0,112.36111111111111
65,"frozenset({'BIOL', 'Paris Scarano', 'HSC S129', 'Lab for Diversity of Life'})",0.005438813349814586,"frozenset({'BIOL', 'Paris Scarano', 'Lab for Diversity of Life'})",frozenset({'HSC S129'}),1.0,96.30952380952381
66,"frozenset({'BIOL', 'Paris Scarano', 'Lab for Ecology and Evolution', 'HSC S129'})",0.005911330049261084,"frozenset({'BIOL', 'Lab for Ecology and Evolution', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
67,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0', 'PSYC'})",0.006910167818361303,"frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0', 'PSYC'})",frozenset({'HSC S3A'}),0.823529411764706,37.07712418300654
68,"frozenset({'HSC S129', 'Paris Scarano', 'Lab for Ecology and Evolution', '0'})",0.005911330049261084,"frozenset({'Lab for Ecology and Evolution', 'Paris Scarano', '0'})",frozenset({'HSC S129'}),1.0,99.02439024390243
69,"frozenset({'HSC S129', 'Paris Scarano', '20', '0'})",0.008620689655172414,"frozenset({'Paris Scarano', '20', '0'})",frozenset({'HSC S129'}),1.0,99.02439024390243
70,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', '0', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', '0'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
71,"frozenset({'HSC S3A', '24', '0', 'PSYC'})",0.010591133004926109,"frozenset({'24', '0', 'PSYC'})",frozenset({'HSC S3A'}),0.826923076923077,36.89349112426036
72,"frozenset({'MUS', 'MUS 101', '40', '0'})",0.0064039408866995075,"frozenset({'MUS', '40', '0'})",frozenset({'MUS 101'}),0.962962962962963,102.8849902534113
